name1,name2,percentage
ymgclfem,oejkaqfr,52
tzthsxoi,ormctkos,38
xpdetavb,jxeuwfqb,12
menwxasd,tmotqsng,3
zsbubmcc,lvjrxgbe,76
koglirgs,onlrhfme,94
rnxmdrjp,erfavutx,25
embzbqos,dqsyybsj,63
cizyadbf,ctmlatiq,72
awhfchpp,pksychlq,71
voshqsxi,qybaaxkm,62
yjnrwpcc,sqkbzrig,60
kpkbuebz,rzjuvyiw,64
xxgoupsm,ynfnazfe,55
efwmbahg,rqndadnk,83
bxnjjwst,taqnrkgy,90
dwwrwdqf,hnqbqipa,72
dqgkdsid,fahjyouq,53
kmzadsjw,twhiqmvk,25
yzmgvjnh,rcmosjrb,38
tcezwjis,bxwedcsh,48
iflnmnjk,ejhuudkz,18
naxjhsaa,vfbomevm,36
mefxwema,sazpkgie,96
avpbsutn,nuguskwx,64
xqefshji,byqxmqck,80
swgrxlav,gseqijjy,80
kdrbxyck,fmexlija,68
qkopieys,hoxrbuyf,95
iwfdlcwh,ihhqifoe,20
aadpisew,nqwhyqrx,44
ufnvmbix,gowrdvny,84
iacfpcnn,mbqfnute,44
sajnollu,zblomizw,68
unvolrrf,egfdnvbw,94
uidwdssi,fvgwoyji,60
mubeaigo,fzkeouan,47
rqunllmd,recwignd,29
zzehjlnv,shmgdarp,14
gzwfjeeb,uvzmezzw,60
qmejzvtn,pmpkgypu,35
rfytnsnw,kwvmgnfv,2
cklpnnjy,whzvmgbi,94
bhagbneb,fjfmjmyr,21
rirvqlhp,kdjewgbl,96
uvesuoqa,unazdrtz,22
adbbqmmd,lzyjlrhp,80
dxoiyacy,hmbhgcdj,2
younznzk,oqnnmldt,40
jqsqgora,oioyjiqd,84
yujigrcy,rvyscqlc,82
adyqfyrh,dphwqmhq,28
zhwqvqoa,qsuumdai,81
bfwihiiw,gzhiwdmy,31
lzdmpkwt,zncxsska,5
maekmpsz,otvcuxzl,92
yxhpwmmg,wxxulrru,13
bfkgrvst,pypqmizg,81
nojbjkwg,syiwotim,60
mjgylkoe,koblzmod,56
opjpcell,dtpgtzqf,88
wxuqrdfz,flxhjbhw,27
swjikgdl,hkgzafho,50
ldxphhfs,skpoualw,90
ofymqbzk,useiogqm,42
crtwzeum,muhpurgb,78
mukluksz,kprctroc,44
zufcxljn,vbarxusf,4
rmzgzcnr,usyocbjr,33
lpdbyhmo,ounsndfs,40
uapaiiyw,beqkeqji,12
wkcejgut,mzsqacsc,92
fignjbkd,rfbplmes,29
zbxabbcl,wptuvwyv,0
bvgqhpba,vzzllzob,87
zzzaybtj,clefnjtk,96
bfxbxtvq,higgdiet,45
icsuujpl,ueqvlanr,62
dhuzgszd,umopkcmh,44
xsqkbznh,vjuflbaz,52
xjltvons,clrxcewc,36
jnlzuiwy,wygwvbbu,44
coqmradn,odlqfbhp,44
dairfdzj,bqvhqtne,58
yunuavdm,dgjcrbot,83
mnzeghaa,qsvfmgoj,11
rnmbuxqu,daroxfdd,12
qvgdqfre,zpibbogn,76
foubsjrj,zilfivdi,85
jyuvnqjz,mdxxdgam,54
gdadtfxf,qcrsejbr,0
wczmdfyt,dvpqmlvp,20
czxayrjp,yxenhtvt,46
eidvabcj,hjsdtgua,92
htsblpfl,utjpdtnf,77
lnzcbokx,pibyrane,50
tysftczk,skobpifu,66
xlsygsfo,bhvglpoi,5
duimjyqf,eoicwhfk,4
zveqagpj,uchbazkb,24
brgknfhv,hnfsckzf,16
xmsqibcb,usrqblqh,74
lfrspknd,xqcebura,12
zkfzetur,vtpqubyf,97
mdiqxqwa,mcvmxlmg,0
tmfyeile,chtuosjs,29
crgkmvli,ktipjdsr,25
pfttcold,sirfvevk,20
yndnunpr,kppukspm,54
cfahygui,iwhrtusx,80
ehfnkhna,fqnyjgxj,35
xbtjktal,vbcxyhhw,44
biiagyko,vrdbhzyv,65
unnmyoax,wwmxmaoh,60
bfmegrim,pitwxbrz,46
gfpqpfbq,oiwwxlez,75
fuvmafho,xgvveghc,60
tcsfrbgo,ltehbvzk,92
wwxczvnm,nnogqvcp,16
bicyegtd,cjqarrox,82
upamrbkb,qksfsshe,44
idzkmqyv,acbgtejn,50
eznbvors,uvvxicac,97
dtkrfjwh,gtgjpgvr,0
wzemyghd,prvygdtg,73
qimhsspd,eizluxdw,16
aigpeeyf,zlipjdfg,36
vpnizhdw,nswutkle,70
buazcxbu,hebsqnog,40
esmzsirk,mjwfxrrt,0
xafcufbr,axfedngu,50
wvbeyldo,afubwcoi,48
qwlrgmgs,pjciplmh,20
bshxuoay,eaelkbxg,5
vwnqtfrl,zzwhurbe,0
zvlhcwcy,kiimqqel,90
onyifgjj,bflpbnyj,20
fspmvegm,wlwuukpe,0
tdavwoli,vlhdsdoa,22
mblzvqdk,ghciveil,25
btoakmfk,argpzkzq,30
kgrmvmvk,zzuinhyt,45
taowomkl,hhoepzkd,58
qyolgiri,smnnnycu,80
lapnllye,xasapvtd,75
egyqvtex,bjeyxcdl,29
udjsqwil,pydxfjkn,74
xufanzcy,nunmhkah,4
hlyshkyv,ehbajgir,44
qookymjw,xdjabfla,16
tevfsytl,lcpeavqh,44
hromwegz,qenxwdik,25
mhityalo,pdpvcktw,93
sitxguji,hvkwezya,43
vnwblcri,dxjiofcu,60
mjpjmvhf,dmnpqvzt,0
czvuhvqo,jpwuwhdv,90
jsmhpaja,ciiwktas,98
nvrvkbhc,ffskchad,68
qshlabsz,ddjmjhka,88
ilphdrov,ydepychd,76
nmzarcba,fgwsirjs,34
gvswjiir,ifpxixlm,85
ackotysl,uvjupjot,22
vjxmmbci,vgomrjgh,52
lhgwwfgu,llemmlwo,75
otuvhsgn,dgdhqocr,36
gtmqbrqe,mztbtrau,63
nsrwrify,rofkxcsp,0
fctvjpsu,cqaxznjv,25
ebhfthvk,dfkktays,50
tyyruphf,vjviwhlc,39
afhdtptr,mtoiiagp,38
srmyjjve,sinnakio,0
ptknzpax,oqsrehgt,92
pfmwobqw,grdojbhf,54
zaindrqx,cfgazxdy,84
bikxqlpd,vhsyzewk,41
txoklrmj,mrlwtyaf,26
pazkhtjr,yyvmwbsh,90
btddsjwt,sgudqdss,60
rijqvufb,pjhbkcwp,61
ueyddilg,pwxpzuzc,65
cxmsbezt,czyytwvm,0
zgzyhnaq,byzyeiph,28
hgvmifxs,frbxdkwg,88
qcjkbouf,pfnhclzc,68
xycimfpj,cjecxzfm,92
npfeydjs,mhtkjwjy,96
jkxinkgs,qhimgmqc,15
edffnmoi,sqapaiyl,20
qpuwmvub,xsscqngq,64
nqiijztu,dspqqubt,96
nsooqtap,pzmnjzgt,0
dagzmfmy,likqpykd,99
mtdqqtwr,wiqiiesk,0
rhvzbbpz,zsdwlgyu,40
jvxhdfdk,dokqapdb,66
hzicgcpv,nsixwaib,78
tenxhmua,xnswzhye,88
pboncrgh,ohgwspbc,11
pzdxholh,oxxoskpw,15
zcxijfyw,ygdpexch,40
sgfgpjoh,irzygdxo,76
hyvrfexk,wkhukdky,34
ablrwoqx,oqhsknww,40
vhmjvcuq,mfeqykxi,52
uitgecev,eposakya,60
gzioeept,bplhczek,21
qmegaeku,uyfwxwap,36
atonhmkq,ipqbukwd,57
okiwdgzu,uksxtsfe,12
wmkrczia,xrtxbobe,16
lqhujeaw,utbnmccf,50
xmonhbnq,vpxniuag,50
wsavqcme,xjycqkad,73
pagctzja,mxfmvtyb,36
nqvvlxoj,sybeoszp,80
qdcujqun,gzxswmex,75
eptgicdf,yxgffdtm,74
jmnmjigj,pcfkeird,60
rzpzahwq,cvnvfhwd,10
jfepqyjp,gzfwzobu,62
pbseyzsa,fmylftak,22
gufvmvzd,gbyulvyt,78
uoinhazq,pnlaqtia,82
iedsxofk,hvcjwuml,80
ykcnctzo,dpedxcqx,25
xvvgjvzn,luxpxpuv,60
zaabvrai,qdsswcvt,60
gtzuzvrn,znhflzbs,82
kbtvfkph,vbmaohqc,36
hrpjhpsg,fqhtfkem,80
stmqefab,mbtnuxza,39
aizdoohw,vzurmvit,11
uxwoarqa,qperitih,60
czjfoajn,bgkddpyy,86
uqmyabsz,qarxvyil,32
nhzdaazx,jqryxkyi,4
mecaqfra,sbbimvnf,60
lzliqjqm,glsxzezg,96
rrbqeqzt,evzyqbuo,91
kkxqudvz,rtqaazlz,56
bpsqcyqt,ausliixo,86
xbedufqs,smfekvog,56
mhpytwrd,dkwzujem,95
clqayiwu,aeofvzql,88
tiwogquw,pfgahpsc,32
lyrfebtb,jrctijez,2
xodfppdm,osvzkkiu,32
udshlkyx,rpmgdrag,84
jvlfsxkq,zpeopuuv,90
gspschnw,laghhrke,26
arhzwffk,fffvzjjm,89
oidbtspx,ugcdhxgp,66
kabcdxjg,zngnoreu,40
aojaxobj,cfhyjtzf,12
yyykxjaw,eihxfstm,64
ywzflpja,iwawaomd,59
ledmeehi,etshtvzw,19
qyltvkag,ymqyhayb,72
nnslffep,jvoftqax,80
sduojqyo,gfsbarwg,94
abhidkav,fmspjasp,68
htqeapcw,qvpmcoxp,34
takinvka,umlpgxwa,45
wguxfgnk,nyuwxkme,24
pcttlcwl,dhpdachn,2
qeasvurp,nqcqndbw,94
xkeawsde,rtgipwyf,20
nlfrvbiz,gkagoxcz,74
ldkalbug,zrmvqidn,58
oepohafu,akdajnxy,90
pbqxfmuq,ryytlukm,92
luywcelo,nvqbeehp,88
quojketa,hzcbcmgg,16
bsavtrxc,tlplyfkl,14
dbkclawb,vvzkhtjh,70
xltfaocm,gfddfjyw,86
bwhutwov,kntmgnqg,42
zskqpudb,uhnxfvpb,4
jcgjtstk,gknxdpfy,0
oqkzydao,lakyqoms,42
ndtxerhj,ilzoykiv,87
sgnenbam,yexdmydr,98
yfxxpqfo,cmyzespx,99
pfhdccmy,oynqjcks,72
drmefbwp,obiuaocs,15
iiloeatp,svmkxkxu,15
smixfpbe,hmwkvsrm,90
plhmaixs,hsetepot,20
nerruaiv,mzyginxy,36
awqnoxng,qodfvukp,40
iqdeebxz,elztpldv,0
zwqxqdqu,spmxkknf,94
spjosjia,stqwarbh,92
sfqjvclp,izgnzdwp,89
hputxfca,bgyrdovf,89
mmomhzgy,wpdfkyza,40
wygsbmrn,msbgmjup,41
ykenktgv,vuupdjsb,89
gobafspg,ucsyrhtn,36
tsrxjyhq,fwygyaen,66
ozsujkpq,ljtokigx,28
zrcxyhew,ixqivoms,0
nntchilh,qgzttznl,60
czmfdgwf,htvxirkk,96
hvxnlnlb,uaxupatl,84
gtgezlkr,vgvrxqlo,70
mcrwttge,nneqmino,13
hqgdceqz,ziqjxtnp,20
ycfakkge,ituzlpnw,33
mmhfyaae,glicziph,20
mapoblpk,xtjkjxag,50
piapouwu,noodhbdh,20
dggtoclc,vfrfijur,42
hzblwqdf,nfbvricx,56
hrhcqphp,pxedvtjt,18
ryjrktpz,cgqzaiqc,12
prelxfwd,ygpxkksp,72
ixdmragi,hfjfzcke,79
wyidbofo,bsdimqgw,54
dyakcydg,fzmiflhz,52
tltzsvkh,fxwhooch,20
hiwejiix,smrarhqn,40
himytech,lhncutec,86
tbguqhgg,tcyvmnje,60
zujoaiht,pexwgmdh,4
szetcvuc,mupzpyle,74
bpsehbit,blioncni,54
drgmiwhg,rcfycmig,64
idvdlvzg,iwbcljip,48
xxkcihuq,yxiaopfk,75
hmpvfiyw,adgufkdp,20
yqqgvzwu,ysiqkqyb,18
zcnvfvsu,jljhqsvp,82
wybultlf,daisjmcp,27
kcnysmvp,niznncgw,98
eujdgvue,zzsepajv,59
axgujhig,zkywufzo,55
lsxazadw,kbsjsotq,18
hrfskszz,fvxegqts,88
dtxjmswy,vbqcbsjk,24
uynrpwyf,wotofgpq,92
kobecyoa,qqkcikhv,70
agzypuzz,zryvqxmy,8
zozsxrnw,ljevkydw,40
xkivdoaa,ucyzrfkt,90
rwulnnwy,zmyuhkff,12
bmdkluvr,yzlrxqky,46
gnaigdfx,lkwykbfg,0
yazyuqtb,nzqkueef,65
sutthcss,luwdbuix,48
tmkjduph,xhththsl,77
pzrtapzq,daueutvn,8
uudeyblu,mixxhgot,52
caavofnr,sjpdlanq,28
iduieaux,tnyxxpnz,22
jvdjyaws,enzvttaz,64
wljgtdka,fnatrshr,32
qinfeqfi,tvrorprb,47
mzgpycqb,wditgcbh,88
zdnvotjx,qtzoxqfg,0
nlcbpocw,lolzdrni,68
xzulczrz,agujmtpg,12
jcjwxrds,qgilximt,41
andoqjfr,vuiybfzq,88
lztpvdrp,yhyahgwr,66
oxraghvl,khxzohhd,0
yrnqpglw,gvmedetr,0
gbwsxzio,gnkbgkkv,29
cbgyngun,wisenukx,34
rwjqglqo,vnqhoyur,96
thbfhsji,dblvoyaj,50
nxkshyei,vunqaqvv,32
zhwkhxic,luwbkrmt,40
vvfxssvt,alzcwviz,80
bzivuybr,aenpgmyh,1
ihjxnrnl,qfffmteq,66
pxkkhmrk,sijlvfcy,20
pjrilnak,skpgozrd,56
yacohmxt,afwsfzuw,61
ahhskvue,mrbxljby,62
kjiakfsj,juwvxjxf,60
soytoujd,fwjnwxha,69
mdbzpwxf,pfujbklo,2
fsghslbw,weijsghf,20
pjrtmllv,xirsiyyz,93
yazwiiur,fvzbvguh,0
wophztwq,pytcrekx,40
xejpxqik,zkttalmc,16
akvujfql,kdjbexxb,0
kghsybeh,mzuenfhf,51
ckcylbzw,dbpwtcjv,64
kkmwbpny,aodgqtjb,52
ltjycdea,uivdcqrc,20
gtyqtujb,tpdqqdst,50
rokbpylp,tuluircc,25
mvchbmdc,enxctysa,44
gwubfeyb,umeficdu,50
zyhreivt,luimbmvi,69
oucqgutv,fdnginuj,82
oqtzubwm,tbkzizyt,35
rzfirmdr,rphunitq,80
rrtnmirt,bwbjikck,22
prywhhvj,rbffmben,32
sgsuwulv,gtpobnay,16
flghummh,ggxaoavw,8
ikupsiby,rzhyqifu,40
kwutajew,hoammbrh,72
jelpjgkg,wmujxzvc,60
wriyosel,epqjolbg,88
ntwwaoib,kkktoojc,0
ilwmjwff,iqvslrkh,80
onpcqhjp,vymvjoal,96
uoitrmpr,spibcnek,6
tkyspdhn,ioorksyf,10
xhjozwve,dendnvsu,71
wrxvvvbp,nivoofov,62
kcommwpp,edurhjam,44
bqibxoge,dulemwlf,36
ruihkncg,pbaiydsf,50
urwcgtnp,hpthxchb,30
axcivvsp,wlyltuzk,12
datnvwly,qruozvla,0
ydzipxzf,urmuwwju,72
irekxwcp,xhcjfchv,4
qxfngwvd,qgqxhspj,10
mvdggpzh,lzjaoyxs,0
uocjydth,bdrfmzvz,90
gaommist,ndpmsbrn,20
vecxavkd,xdskjvxg,40
awgiegck,shqjqbgu,46
guidhood,sbrjtqnf,74
clrobvra,cqvtrzbj,74
ekhwfpvc,xtojniqc,60
niamdgne,cukspirl,95
amalnomm,ydwhbidj,50
phyzktvd,zsylwzkc,0
hraffxie,hkabsyil,75
lrppbqdr,eophsczb,2
snyekvyn,ftgperfz,16
oxvhqcty,nqcbyjzl,54
ukqrqudq,khqqpgcr,10
vtcysxqz,giubxkly,96
owajewds,bzxscxzk,4
sneespmm,mmviqbtn,16
alfiozqb,fiwsbnrw,92
vouywise,xhougqad,55
bjvszusu,sjdsftyf,16
wmitiwuv,mwwtiaov,52
yegclsda,dtflohir,40
mnofpoij,abbwuuoi,92
wsosigld,zsecmuib,16
ectacqii,bzfpcetx,50
grsdrqog,gzllowfo,32
ehvclxhw,llezabqg,50
artojnuh,fdkrrzsv,0
ypozzonw,yttfnait,24
updxwhde,ycfexgra,61
zhvfguog,ejmapljq,60
ttrijnva,ximpfqfg,12
rgnsoerq,cyukbzdw,23
qidygcmj,eqvkjpnf,64
qwsgpejo,fcugyxvo,80
lldbnnax,jmquarsy,92
cxkcaqaz,gycnlarn,48
iqkdodpv,vidoavqj,88
llbsbhfc,rfzanfjn,16
hehbysgw,gdtzsksp,50
pbashirc,jsxwiqgk,72
jerpgnhq,xkkyibly,81
srawxdco,wfcsbsof,75
fedvglnb,zferuhio,40
zugtbwmw,mwntgcae,62
nhhjzmgx,anvmmsmi,16
udirifpq,yvcsshpl,56
lscpnqbg,qoirctdc,6
jagkmjra,iefjhtzn,74
hlszguqt,vcraconf,0
xybmptnr,tickjmnl,0
xihaqbiq,llickaxt,0
wfxymxfk,twcvihek,0
ijvmtezf,mhmeywiw,73
xbqsztqf,pqwyzsqj,79
gclqbmzt,yfiyfcbo,12
vrmtugyh,hmwwlhhi,44
ldwybyrt,srvgtuyh,76
biysqmgn,txxuouan,92
lbfwgkgg,oubwyhvw,1
nhsfhnkz,ghwhfxrv,16
iksfbtps,ncvlyytc,40
jrlpcnwv,mwwhesyd,68
idxzatke,errdrefl,72
zfqlaasf,esnabzkn,60
rokpkbhv,zmnxyjwi,52
qgmiumzi,zunzlcjh,4
qolntkam,cmljzgav,2
sxfemxnh,tocuqoxo,38
nvsoeojx,vaygmuzn,24
mjtuktzd,cpeghodh,62
tuvjwzpm,zosjqyse,76
hatdcmjf,zueyualb,73
xzadiwef,tgvpnxmf,40
nzstebiy,oeucuktd,84
yamvjlvz,mpguaqaa,55
grjtfrcj,kfhsunha,60
urxjcmsx,xzwhnuuq,0
wkjxujqx,qypmemoy,76
mnjdytri,awfyiwjj,75
docmterb,iuzzspyv,36
xsabjpal,bqqdkide,61
kkfyjmrc,gdqsvijn,50
tqhqzflq,nkirikuu,62
recszxrm,edghbqdf,74
xcksfnwk,wdrwcnmg,67
oorqldtp,ldcsneci,45
fkyixjns,pvsdambe,0
dsyeqokv,jstxhgsr,98
cxltdsfm,qqjcektn,85
zxrpulls,lajpzubn,20
jifczldp,gwmvzqfi,14
ewndruef,hotyllbn,64
wqiexljk,kqoowazb,62
aqbhgdem,ihoyksyv,50
szcfubke,byswzyjs,37
weukmfio,brfkfipo,21
nuhnjjga,smgopako,45
ldmydsmg,hahtahnf,10
ovlkdpmp,nhlzwmwi,92
snamidpb,uqerfvgc,82
dpavwisy,dbjxoqrd,94
uhxedlts,qthpjzqk,33
vjhprnpm,swqpvcvx,90
mwdeozpp,etirobdv,18
ndaqxzey,vhbgyapf,20
mxgjcvfi,bkuxlwey,42
loiyqmgv,vjilcxnx,68
rivanzke,wmujrhmn,12
vetrrhph,mrquiugj,72
wxwsmdhp,nkllixao,68
znqhbewq,hxjpfuwu,60
wnjglrin,pcjutmtw,50
lcjhrrex,aepvwwpl,76
pyceoahs,uowfylls,60
zkvtwvsq,jzmmgrza,96
hsjsseiu,pogtntxd,64
cnqvqncn,wkoxxuxh,96
yxhtxpmb,gjdrfguq,0
eehukmql,onezvjof,60
uhyrlmjs,wfrcocex,10
tqqpugww,sfqfcfsd,76
aqclqmtn,ofpztbgk,15
nldvxkpc,sidqlvee,14
arnftnxl,qvbsmqva,37
eaczfdld,bdiwlsrx,91
bdgmqbsw,angxnalj,5
bbwsrdfj,iprlncmw,52
vgcaazpr,zkoakgyz,80
amgkirux,ebylclnx,80
fjlwrojc,jsylmblx,25
ndtlvilh,riggbwyj,61
arrlcqke,xeuqahko,10
wxlqdrmr,hqsgnyzj,18
nvsxnygm,osthrutp,30
dzqrqhwv,feqzuyty,39
esziynbw,riahrzvf,16
inwlwihu,xleyghbp,29
rfktsbnu,ujegenol,3
hgdjhayy,nptrwvcr,12
nrwanttl,lrdmxkiw,80
vekejegd,zpwdalcu,38
rogrbfhc,xlfxkrey,85
gajkmcye,ydyvrkwp,16
jxivlmsv,ajlghnew,52
krfwrvsr,sjzsvxif,9
mtjmazcn,kzrtmvna,24
virqeitr,vaqybfim,18
khbhcxwq,sifrkolp,36
kfpvfnub,wltnpbzt,66
mejkkifk,pxrvujql,52
ucjkbpmm,zitzbzyv,68
kjfmeunm,qkxgpwud,51
alimqloh,nzqlxcjk,75
novgctwt,adcfdrms,12
lclmgcww,wowyqugq,24
onmdtoit,eaerhtgw,90
mrgtzilj,iqghhiwx,59
ymhveudr,jlggkmuo,76
pziqgxua,cgtzvkcy,65
gpuiufvb,morqsrja,88
wmywplvv,fbfxqbwj,92
vboslrjr,fbmusmmq,48
ayqpmfku,epsobwir,50
uwtuvpcb,nzfowpcd,0
zwwdcjni,ihgnnjtx,20
sffzryuc,mwokzhpr,16
daxwtusb,gsmdlcpm,10
nvmazgev,xlaemwhq,38
vkqtkjmt,yqpuvpws,84
mpzqeyth,xkoxvbab,62
ngcqynow,zpwpndyc,70
apkfhkpi,htvcnykw,24
empcmzwo,kiknlawh,74
wnxjwwmi,ndekgonl,50
ijzvulju,udvqycyv,93
kkodhsvw,cjxqnbcb,83
hmkotzod,lisidiqh,0
wmcfxbae,hmujuwwf,85
cdwgapor,npurqcoe,35
owkjrded,toxfenbq,18
uiyeuspd,pnvrckbr,36
ucihqkdi,sbkgpwku,0
aeadbaac,ijnqyyef,94
myatramq,inkycnxl,80
nfbbcoqv,rjbkblso,93
jxsjbavn,knxqostb,0
iidypdrm,zzfwcejf,18
hzvvrgso,qppehqlj,45
cdnlrcfj,lvacwxma,46
rlirntas,kkywtdlz,0
pnopvydx,woktmfnj,20
tvutcntw,xcusfipj,36
sbnoutck,iansggtk,88
oofjwxtc,ppjmydwf,4
oyrrwtqt,iyxymrcp,24
gvbwsjia,cflxugdl,77
ltxkndmu,eievnovh,16
rfbulaco,ggsfsbqq,52
dasvrdem,khvasgva,86
fzjffpui,pfeivflb,28
fwpoampc,ixowpfzp,83
jsvsmkvr,dcuudokj,14
zwrjtltb,dubklkxo,32
kbjsvxzo,hihymphw,66
rwhzlanx,tlcdtirh,28
gddbgmhl,rwqnbrsh,75
rowiutll,jkiusnqg,48
llrmlmzb,veninkla,56
yhsvwgst,zbjmvsqn,1
hzfytzwe,xbgxdpsf,90
hqzxoigx,wlcqpzwv,80
bniebies,skootiup,2
akupdosb,rabrqowe,19
hwwshjtu,nxwuhmur,0
fhhqncju,scghsjgl,15
bunsdztd,dhpwpiis,16
yyjlajdy,tfwskvbc,20
gclsnjac,ulltgwlw,26
ecximulh,jqlfdoux,51
uofojgpp,dchqqgfo,30
urnyritk,ksubphue,84
cskjvyxu,sebflujt,89
iqdxnxgj,pqhusyno,31
mdxpycuo,otoyxwjr,2
aimuqnha,wndgsqro,20
kagttdyx,amwdzbsh,20
wmwubpjk,pyhvypdz,70
efyqljrm,nfaxoyjw,64
xekvqzcm,cjeunyxi,31
zxqlhipr,qkwlylgq,16
xvxqsrju,fdqdrcan,5
wsfdpgcd,csqknwsz,0
qdelipzh,ysxxpmbj,65
jgjchlft,aemtlqlm,84
jeinfptu,zjxtwkni,45
kiivzuaw,qpxbpvtx,10
wvhlcgww,sicoxosu,77
ynlqxdbd,uzblvdqq,30
nngnvijb,ywqirrwo,60
ikgpebkt,wpsmsywc,41
oqhtjdjn,usiesboh,56
iomeajop,bxgksopc,80
busetkfi,gdcrxxvh,58
rmbbnxbm,kuxbrugp,28
svkggiiw,aarwrzan,50
wpmomcpz,mjghakdp,34
zthdhsdr,wdbzfspr,50
bvemizmp,grcgcnmv,70
ddpnaqov,pbkuhpbg,11
kobzxmhw,lvnuiohz,50
tdmuommc,tpvmtjca,10
jfoltnkx,tcfpnbgb,40
skwvnunh,zihzfvgo,0
qsgndfda,qpydmpbe,40
sclebqni,jdziznce,85
yooepksk,tqpdauwu,35
pmouupfc,ywxxkjug,27
iwhyszbu,ixaeguub,58
fatkdbop,mupwscjx,71
ehnlkakw,yackqhur,16
dgbdpljv,ohnzvbel,40
otaqrebs,bidfeide,80
rapqedja,uuepumly,80
bheqqlii,tapuaxfr,25
gwdizbfm,nfhquzot,10
hhfroukc,yczuzgkm,0
ywhhlaeu,uevupgak,12
yxubbtaw,vwrugamv,70
cdavujsw,uufefmgo,2
jskqpeej,mvhrvvql,22
eevkduwc,xpulkcpj,22
mnlesjan,evqvwviu,4
nbdtbnxg,iwzykntm,95
uwwzcbir,mnuukony,86
tetcgzhe,cpilgaba,78
eznwbwxl,mxjwglpq,30
lxbsxhir,jdttldhv,12
lpuqymab,yuecuzaz,0
nzldifgl,mplxqzij,10
jtfoflgl,hozmkply,64
nvwfbsql,pvoyhawe,89
bfutspvo,ranqekmc,50
kwklqzjs,jpupznrw,64
fbibmkqt,agdqeldj,44
elxdnclm,uknfytlo,60
fdsyspgg,gwkmrbpa,89
sntjjizf,kjqpyvoq,82
ssacurpz,ejifruvs,98
xqvnptbo,vxauxetj,10
bpgafsuy,ufqkdpdk,70
jzgghdqr,hessutcf,85
pokkfcay,rnavkdet,28
kqiqovhg,bugaetow,88
prqwmeos,izlypeiz,24
lhhbmfii,vjflxqoz,0
bfmhqwtt,zpebahlq,35
beamcdoc,tqbgdwqw,34
msuboogw,seaeogpc,37
bqzgjgvl,rucfznsc,38
wihqjqnr,kbnlpjsj,8
joxqtbrk,luwrpykj,40
howgirdz,smureoef,60
kckeddel,qkydhbwh,18
cvzoends,akdoejji,8
fmnhultm,grcuwqsk,25
frmnubzv,xgasnize,70
qtuuahzg,dxbivtfi,96
kibvzcye,efgjbfps,69
xtejqwrq,sbkwmzak,48
micbnclz,evczmivk,50
bzmtosbb,itatpero,24
qvpjuuaq,yvgomwad,54
hldpiyvv,boxxojnz,28
hnvcexar,bdoqrbvk,17
qqqnimhj,kzrdxohv,8
hwaulkuv,jyjkudzh,21
rxwpsdbw,azekflya,35
muhekqqy,ztyzpttu,70
mtilqbhk,ccdjbpcn,80
obtkhhqj,cwtluqzb,28
gpksdslh,ktjhnqgm,52
enwevqaa,yxcjfzgr,72
svjhnrni,bzsfribu,22
eociqaug,lnlbyeuu,80
ocjvdjpg,zxvpwvqe,65
idlqjvks,ctksmyab,64
lpbujbfh,eyfytzjf,95
avxbomyh,bhdiarod,62
bixxymvw,goycxjsc,40
nnioqjqh,pkcqsidg,88
sobppukp,idecpbsx,0
kyzjnqui,ohnirvaq,72
urmlgyao,zrdxvqvq,40
xayewama,fdaewudk,23
bbjuspcu,oognefpa,14
hxdqcbbu,pxendzxd,65
tziceelr,fmdcjzxp,20
bfmvdhou,pljpjazo,66
audairce,mrrjtdsi,70
xhwnzdpm,jkzhqeub,28
jnduyhld,acrjhpxg,30
abjlsejc,uugrwdme,0
hacdqfyx,xjtcnwil,48
mveeamlm,ouoanmjq,48
cgpishht,csylfavb,64
mzwjvrsv,mijhtfek,50
tagpoycm,pieiuusu,52
lhbcbpxd,lukodvwu,83
fsbvprup,pqodgxwh,16
dcdjlmkq,mnpjatjy,34
pygambka,ywzfbnmk,72
vewrshov,cepkovll,0
nnugrjlz,mfvtcxzt,80
kifnipbw,gupmnhds,60
ksfupetj,ghbmzeis,32
hydcksmv,qacmenfr,85
cgdswxjo,qixzdmid,2
jodbchbe,lwjcdyap,54
rcyvrzsf,hcmvnwqs,35
favpqbsx,jglirzjp,0
bgcovqex,rnwbkseu,3
okdpfawc,xcdokeyi,8
khcjdvmg,ljafqzcs,52
bakeqfyy,imhscjee,0
tixafsem,wqfdfqfo,30
lgjonoux,wfghcaor,14
xgdhmdlr,pqfjiaam,78
huoonptw,kgkeranp,0
eneficml,wgbackvn,85
jyxlloyd,nqatiwik,40
lugkhykt,qoixllnk,6
qmvbfnqb,bdkjdlco,69
jpwzpgux,xfboxwpe,13
umfefppm,wsgdemak,64
chhbnmmg,pvzubfbc,76
mbbgxsgt,mahntbic,56
boqwhevi,dsbnmpod,95
lenrbsxt,urwyrscd,18
vhogirwn,zhbjozjv,8
drrkwrbw,lypgjrgx,95
ovuwjjsi,vlelleoo,2
aoynlegn,qyqmyycu,54
pzfqlqwm,twcyqgtk,12
fxmyayjq,pxyfdeab,39
jehkptaf,oadtcewa,0
rcfnsgen,ykngbavh,32
ifdensrg,xxsuwgzq,50
gqjfmycx,wpratqvs,92
mlsbwexp,szmlfjql,6
ccetnldj,gyruwoan,88
jayabjma,dyynvpct,7
fueqedhl,fbeanihg,20
hygdhnjl,sjcnozlc,20
